Latitude	Longitude	Rx(dB)	BestUnit
 41,40347	-007,88248	 053,3	7
 41,40347	-007,87748	 044,7	7
 41,40347	-007,87250	 037,7	7
 41,40347	-007,86751	 019,4	7
 41,40347	-007,86251	 025,7	7
 41,40347	-007,85752	 024,0	7
 41,40347	-007,85253	 037,1	7
 41,40347	-007,84754	 053,8	7
 41,40347	-007,84255	 058,4	7
 41,40347	-007,83756	 058,2	7
 41,40347	-007,83257	 059,2	7
 41,40347	-007,82758	 046,1	7
 41,40347	-007,82259	 050,8	7
 41,40347	-007,81760	 037,3	0
 41,40347	-007,81261	 033,5	0
 41,40347	-007,80762	 039,2	7
 41,40347	-007,80263	 047,6	7
 41,40347	-007,79764	 060,9	7
 41,40347	-007,79265	 049,7	7
 41,40347	-007,78766	 056,4	7
 41,40347	-007,78267	 057,3	7
 41,40347	-007,77768	 058,3	7
 41,40347	-007,77269	 057,9	7
 41,40347	-007,76770	 059,9	7
 41,40347	-007,76271	 060,4	7
 41,40347	-007,75772	 062,2	7
 41,40347	-007,75273	 056,2	7
 41,40347	-007,74774	 038,5	7
 41,40347	-007,74275	 026,8	7
 41,40347	-007,73776	 013,8	7
 41,40347	-007,73277	 014,4	7
 41,40347	-007,72778	 012,1	7
 41,40347	-007,72279	 013,5	7
 41,40347	-007,71780	 017,6	7
 41,40347	-007,71281	 018,8	7
 41,40347	-007,70782	 024,3	7
 41,40347	-007,70283	 028,4	7
 41,40347	-007,69784	 027,3	7
 41,40347	-007,69285	 019,8	7
 41,40347	-007,68786	 011,2	7
 41,40347	-007,68287	 028,9	7
 41,40347	-007,67788	 035,4	7
 41,40347	-007,67289	 036,9	7
 41,40347	-007,66790	 036,8	7
 41,40347	-007,66291	 035,9	7
 41,40347	-007,65792	 036,5	7
 41,40347	-007,65293	 037,4	7
 41,40347	-007,64794	 027,1	7
 41,40347	-007,64295	 033,1	7
 41,40347	-007,63796	 005,6	7
 41,40347	-007,63297	 034,8	7
 41,40347	-007,62798	 024,8	0
 41,40346	-007,62299	 027,9	7
 41,40347	-007,61800	 002,0	7
 41,40347	-007,61301	 008,6	7
 41,40347	-007,60802	 009,5	7
 41,40347	-007,60303	 015,3	7
 41,40347	-007,59804	 031,3	7
 41,40347	-007,59305	 024,6	7
 41,40347	-007,58806	 033,1	7
 41,40347	-007,58307	 012,8	0
 41,40347	-007,57808	 024,5	7
 41,40347	-007,57309	 035,9	7
 41,40347	-007,56810	 038,1	7
 41,40347	-007,56311	 042,6	7
 41,40347	-007,55812	 007,9	7
 41,40347	-007,55313	-003,9	7
 41,40347	-007,54814	 006,6	7
 41,40347	-007,54315	 018,4	0
 41,40347	-007,53816	 027,2	7
 41,40347	-007,53317	 037,4	7
 41,40347	-007,52818	 040,9	7
 41,40347	-007,52319	 014,2	7
 41,40347	-007,51820	 017,8	7
 41,40347	-007,51321	 018,5	7
 41,40347	-007,50822	 009,4	7
 41,40347	-007,50323	 011,9	7
 41,40347	-007,49824	 011,7	7
 41,40347	-007,49325	 018,1	7
 41,40347	-007,48826	 019,1	7
 41,40347	-007,48327	 023,8	7
 41,40347	-007,47828	 006,7	7
 41,40347	-007,47329	 002,8	7
 41,40347	-007,46830	-001,8	7
 41,40347	-007,46331	 018,3	7
 41,40347	-007,45832	 023,8	7
 41,40347	-007,45332	 023,3	7
 41,40347	-007,44834	 017,0	7
 41,40347	-007,44335	 023,6	7
 41,40347	-007,43835	 024,8	7
 41,40347	-007,43336	 025,8	7
 41,40347	-007,42838	 026,8	7
 41,40347	-007,42338	 011,1	7
 41,40347	-007,41839	 028,4	7
 41,40347	-007,41341	 029,6	7
 41,40347	-007,40841	 032,7	7
 41,40347	-007,40342	-002,4	7
 41,40347	-007,39843	 000,5	7
 41,40347	-007,39344	 016,3	7
 41,40347	-007,38845	 030,9	7
 41,40347	-007,38346	 035,6	7
 41,40347	-007,37847	 008,5	7
 41,40347	-007,37348	-009,7	7
 41,40347	-007,36849	-006,4	7
 41,40347	-007,36350	 013,0	7
 41,40347	-007,35851	 024,8	7
 41,40347	-007,35352	 034,5	7
 41,40347	-007,34853	 034,7	7
 41,40347	-007,34354	 009,0	7
 41,40346	-007,33855	 021,8	7
 41,40347	-007,33356	 034,8	7
 41,40347	-007,32857	 035,4	7
 41,40347	-007,32358	 036,8	7
 41,40347	-007,31859	 038,5	7
 41,40347	-007,31360	 039,6	7
 41,40346	-007,30861	 008,6	7
 41,40347	-007,30362	 009,7	7
 41,40346	-007,29863	 030,1	7
 41,40347	-007,29364	-008,6	7
 41,40347	-007,28865	-000,3	7
 41,40347	-007,28366	 004,4	7
 41,40347	-007,27867	 016,5	7
 41,40347	-007,27368	 011,9	7
 41,40347	-007,26869	 013,2	7
 41,40347	-007,26370	-010,7	7
 41,40347	-007,25871	 009,1	7
 41,40347	-007,25372	 022,9	7
 41,40347	-007,24873	 023,8	7
 41,40347	-007,24374	 026,8	7
 41,40346	-007,23875	 029,4	7
 41,40347	-007,23376	 023,0	7
 41,40346	-007,22877	 013,3	7
 41,40347	-007,22378	 030,2	7
 41,40347	-007,21879	-003,4	7
 41,40347	-007,21380	-002,2	7
 41,40346	-007,20881	 004,1	7
 41,40347	-007,20382	 020,0	7
 41,40346	-007,19883	 017,7	7
 41,40347	-007,19384	 032,7	7
 41,40347	-007,18885	 033,8	7
 41,40347	-007,18386	-006,4	7
 41,40347	-007,17887	-012,0	7
 41,40347	-007,17388	-002,5	7
 41,40347	-007,16889	 000,8	7
 41,40347	-007,16390	 004,2	7
 41,40347	-007,15891	 010,2	7
 41,40347	-007,15392	 014,4	7
 41,40347	-007,14893	 019,5	7
 41,40347	-007,14394	 026,0	7
 41,40347	-007,13895	 032,8	7
 41,40347	-007,13396	 026,7	0
 41,40347	-007,12897	 038,8	7
 41,40347	-007,12398	 040,9	7
 41,40347	-007,11899	 013,3	7
 41,40347	-007,11400	 033,2	7
 41,40347	-007,10901	-022,2	7
 41,40347	-007,10402	 008,5	7
 41,40347	-007,09903	 009,7	7
 41,40347	-007,09404	 017,3	7
 41,40347	-007,08905	 020,1	7
 41,40347	-007,08406	 025,0	7
 41,40347	-007,07907	 026,0	7
 41,40347	-007,07408	 027,9	7
 41,40347	-007,06909	 029,0	7
 41,40347	-007,06410	-013,4	7
 41,40347	-007,05911	-014,0	7
 41,40347	-007,05412	-000,5	7
 41,40347	-007,04913	 003,1	7
 41,40347	-007,04414	 001,2	7
 41,40347	-007,03915	 028,7	7
 41,40347	-007,03416	 044,1	7
 41,40347	-007,02917	 049,0	7
 41,40347	-007,02418	-002,5	0
 41,39971	-008,71582	 039,4	2
 41,39971	-008,71084	 037,3	2
 41,39971	-008,70584	 037,2	2
 41,39970	-008,70085	 036,5	2
 41,39971	-008,69586	 035,6	0
 41,39972	-008,69087	 029,9	0
 41,39971	-008,68588	 027,0	0
 41,39971	-008,68089	 032,3	0
 41,39971	-008,67590	 022,7	0
 41,39971	-008,67091	 028,8	0
 41,39971	-008,66593	 026,5	0
 41,39971	-008,66093	 019,0	0
 41,39971	-008,65594	 008,8	0
 41,39971	-008,65095	 027,1	0
 41,39971	-008,64596	 019,7	0
 41,39971	-008,64097	 017,4	0
 41,39971	-008,63598	 032,0	0
 41,39971	-008,63099	 016,0	0
 41,39971	-008,62600	 015,7	0
 41,39971	-008,62101	 019,2	0
 41,39971	-008,61602	 007,2	0
 41,39970	-008,61103	 033,0	8
 41,39971	-008,60604	 018,3	0
 41,39971	-008,60105	 012,9	0
 41,39971	-008,59606	 030,2	2
 41,39971	-008,59107	 041,4	2
 41,39971	-008,58608	 035,6	2
 41,39971	-008,58109	 048,9	0
 41,39971	-008,57610	 041,8	8
 41,39970	-008,57111	 048,2	8
 41,39971	-008,56612	 027,0	0
 41,39971	-008,56113	 037,0	2
 41,39971	-008,55614	 038,0	2
 41,39971	-008,55115	 042,7	2
 41,39970	-008,54616	 049,0	0
 41,39971	-008,54117	 047,1	0
 41,39971	-008,53618	 045,7	8
 41,39971	-008,53119	 024,4	0
 41,39971	-008,52620	 046,3	8
 41,39971	-008,52121	 026,1	0
 41,39971	-008,51622	 025,1	0
 41,39971	-008,51123	 046,1	8
 41,39971	-008,50624	 037,2	0
 41,39971	-008,50125	 035,4	2
 41,39971	-008,49626	 046,2	0
 41,39971	-008,49127	 044,9	0
 41,39971	-008,48628	 036,7	0
 41,39971	-008,48129	 040,5	0
 41,39971	-008,47630	 032,9	0
 41,39971	-008,47131	 043,3	8
 41,39971	-008,46632	 044,3	8
 41,39971	-008,46133	 043,5	8
 41,39971	-008,45634	 028,9	0
 41,39971	-008,45135	 032,5	0
 41,39972	-008,44636	 035,9	0
 41,39971	-008,44137	 024,3	0
 41,39971	-008,43638	 034,0	0
 41,39971	-008,43139	 034,2	2
 41,39971	-008,42640	 047,8	0
 41,39971	-008,42141	 045,0	8
 41,39971	-008,41642	 044,4	8
 41,39971	-008,41143	 044,1	8
 41,39971	-008,40644	 041,4	8
 41,39971	-008,40145	 036,6	8
 41,39971	-008,39646	 033,2	8
 41,39971	-008,39147	 027,3	0
 41,39971	-008,38648	 024,2	0
 41,39971	-008,38149	 025,2	0
 41,39971	-008,37650	 032,7	8
 41,39971	-008,37151	 033,6	8
 41,39971	-008,36652	 031,3	8
 41,39971	-008,36153	 042,9	8
 41,39971	-008,35654	 037,7	8
 41,39971	-008,35155	 056,1	8
 41,39971	-008,34656	 060,9	8
 41,39971	-008,34157	 066,1	8
 41,39971	-008,33658	 067,1	8
 41,39971	-008,33158	 051,9	8
 41,39971	-008,32660	 040,6	8
 41,39971	-008,32161	 039,9	8
 41,39971	-008,31662	 066,6	8
 41,39971	-008,31163	 055,7	8
